	Fine Arts Museums Board of Trustees	"Charter §§ 5.102, 5.105"	"Environment, Executive Director"	Environment Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Early Childhood Community Oversight and Advisory Committee	Administrative Code § 5.13-1
	Fire Commission	Charter § 4.108	"Ethics Commission, Executive Director"	Ethics Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Family Violence Council	Administrative Code § 5.19-1
	Health Commission	Charter § 4.110	"Film Commission, Executive Director"	Film Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Food Security Task Force	Administrative Code § 5.10-1
	Health Service Board	Charter § 12.200	"Fine Arts Museums, Director"	Fine Arts Museums	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Free City College Oversight Committee	Administrative Code § 5.2-1
	Historic Preservation Commission	Charter § 4.135	Fire Chief	Fire Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Graffiti Advisory Board	Administrative Code § 5.18-1
	Human Rights Commission	Charter § 4.107	"Health Service System, Director"	Health Service System	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Housing Conservatorship Working Group	Administrative Code § 5.37-1
	Human Services Commission	Charter § 4.111	"Homelessness and Supportive Housing, Executive Director"	Department of Homelessness and Supportive Housing	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Housing Stability Fund Oversight Board	Administrative Code § 5.45-1
	Immigrant Rights Commission	Administrative Code § 5.201	"Human Resources, Director"	Department of Human Resources	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Inclusionary Housing Technical Advisory Committee	Administrative Code § 5.29-1
	Juvenile Probation Commission	Charter § 7.102	"Human Rights Commission, Executive Director"	Human Rights Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Industrial Development Authority Board	Administrative Code § 42.1
	Library Commission	Charter § 8.102	"Human Services Agency, Executive Director"	Human Services Agency	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	In-Home Supportive Services Public Authority	Administrative Code § 70.2
	Municipal Transportation Agency Board of Directors	Charter § 8A.102	"Juvenile Probation Commission, Chief Probation Officer"	Juvenile Probation Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Juvenile Justice Coordinating Council	Cal. Welfare and Institutions Code §§ 749.2-749.27
	Our Children Our Families Council	Charter § 16.127-1; Administrative Code § 102.1	Mayor	Office of the Mayor	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Local Homeless Coordinating Board	Administrative Code § 5.31-1
	Planning Commission	Charter § 4.105	"Municipal Transportation Agency, Executive Director/CEO"	Municipal Transportation Agency	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Market and Octavia Community Advisory Committee	Planning Code § 341.5; Board of Supervisors Res. No. 474-08
	Police Commission	Charter § 4.109	"Planning, Director"	Planning Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Mental Health SF Implementation Working Group	Administrative Code § 5.44-1
	Port Commission	Charter § 4.114	Police Chief	Police Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Mission Bay Transportation Improvement Fund Advisory Committee	Administrative Code § 5.23-1
	Public Utilities Commission	Charter § 4.112	"Port, Director"	Port	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Municipal Green Building Task Force	Environment Code § 702
	Public Utilities Rate Fairness Board	Charter § 8B.125	Public Defender	Public Defender's Office	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Municipal Transportation Agency Citizens' Advisory Council	Charter § 8A.111
	Public Utilities Revenue Bond Oversight Committee	Administrative Code § 5A.31	"Public Health, Director"	Department of Public Health	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	"Our City, Our Home Oversight Committee"	Administrative Code § 5.41-1; Business and Tax Regulations Code § 2810
	Public Works Commission	Charter § 4.141	"Public Works, Director"	Department of Public Works	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	"Park, Recreation, And Open Space Advisory Committee"	Charter § 16.107; Park Code § 13.01
	Recreation and Park Commission	Charter § 4.113	"Recreation and Park, General Manager"	Recreation and Park Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Pedestrian Safety Advisory Committee	Administrative Code § 5.4-1
	Refuse Rate Board	Health Code § 290.6	"Residential Rent Stabilization and Arbitration Board, Executive Director"	Rent Board	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Permit Prioritization Task Force	Campaign & Governmental Conduct Code § 3.400
	Residential Rent Stabilization and Arbitration Board	Administrative Code § 37.4	"Retirement System, Executive Director"	Retirement System	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Public Utilities Citizen's Advisory Committee	Administrative Code § 5.140
	Residential Users Appeal Board	Board of Supervisors Ord. 191-78; Public Utilities Commission Res. No. 03-0112	"San Francisco Public Utilities Commission, General Manager"	Public Utilities Commission	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Real Estate Fraud Prosecution Trust Fund Committee	Administrative Code § 8.24-5
	Retiree Health Care Trust Fund Board	Charter § 12.204	Sheriff	Sheriff's Department	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Reentry Council	Administrative Code § 5.1-1
	Retirement Board	Charter § 12.100	"Sheriff's Department Office of Inspector General, Inspector General"	Sheriff's Department Office of Inspector General	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Relocation Appeals Board	Administrative Code § 24.7
	Sanitation and Streets Commission	Charter § 4.139	"Small Business, Director"	Office of Small Business	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Residential Rehabilitation Area Rent Committees	Administrative Code § 32.34
	Sheriff's Department Oversight Board	Charter § 4.137	"Technology, Executive Director"	Department of Technology	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Residential Rehabilitation Area Citizen Advisory Committees	"Administrative Code §§ 32.30, 32.30-1"
	Small Business Commission	Charter § 4.134	Treasurer	Office of the Treasurer & Tax Collector	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Service Provider Working Group	Administrative Code § 2A.234
	SOMA Community Stabilization Fund Community Advisory Committee	Administrative Code § 5.27-1	"War Memorial and Performing Arts Center, Managing Director"	War Memorial	Campaign & Governmental Conduct Code § 3.1-103(b)(1)	Sentencing Commission	Administrative Code § 5.250
	Southeast Community Facility Commission	Administrative Code § 54.2				Shelter Monitoring Committee	Administrative Code § 20.305
	Sunshine Ordinance Task Force	Administrative Code § 67.30				Shelter Grievance Advisory Committee	Administrative Code § 5.36-1
	Treasure Island Development Authority Board of Directors	Cal. Health & Safety Code § 33492.5				Single Room Occupancy (SRO) Task Force	Administrative Code § 5.28-1
	War Memorial Board of Trustees	Charter § 5.106				South of Market Community Planning Advisory Committee	Administrative Code § 5.26-1
	Workforce Investment Board	Administrative Code § 30.4				State Legislation Committee	Administrative Code § 5.5
						Street Artists and Craftsmen Examiners Advisory Committee	Police Code § 2400
						Street Utilities Coordinating Committee	Administrative Code § 5.60
						Structural Advisory Committee	Building Code § 105A.6
						Sugary Drinks Distributor Tax Advisory Committee	Administrative Code § 5.33-1
						Supportive Housing Services Fund Committee	Administrative Code § 10.100-131(f)
						Sweatfree Procurement Advisory Group	Administrative Code § 12U.6
						Treasure Island/Yerba Buena Island Citizens Advisory Board	Board of Supervisors Res. No. 89-99
						Treasury Oversight Committee	Administrative Code §5.9-1
						Urban Forestry Council	Environment Code § 1200
						Veterans' Affairs Commission	Administrative Code § 5.100
						Workforce Development Advisory Committee	Administrative Code § 83.8
						Youth Commission	"Charter §§ 4.122, 4.123"
