Elected,"Elected, Legal Source",Commissions,"Commissions, Legal Source",Department Heads,Departments,"Departments, Legal Source",Advisory,"Advisory, Legal Source"
,,Film Commission,Administrative Code Sec. 57.2,"Entertainment Commission, Executive Director",Entertainment Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Disaster Council,Administrative Code Sec. 7.4
,,Fine Arts Museums Board of Trustees,"Charter Sec. 5.102, 5.105","Environment, Executive Director",Environment Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Early Childhood Community Oversight and Advisory Committee,Administrative Code Sec. 5.13-1
,,Fire Commission,Charter Sec. 4.108,"Ethics Commission, Executive Director",Ethics Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Family Violence Council,Administrative Code Sec. 5.19-1
,,Health Commission,Charter Sec. 4.110,"Film Commission, Executive Director",Film Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Food Security Task Force,Administrative Code Sec. 5.10-1
,,Health Service Board,Charter Sec. 12.200,"Fine Arts Museums, Director",Fine Arts Museums,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Free City College Oversight Committee,Administrative Code Sec. 5.2-1
,,Historic Preservation Commission,Charter Sec. 4.135,Fire Chief,Fire Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Graffiti Advisory Board,Administrative Code Sec. 5.18-1
,,Homelessness Oversight Commission,Charter Sec. 4.133,"Health Service System, Director",Health Service System,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Housing Stability Fund Oversight Board,Administrative Code Sec. 5.45-1
,,Human Rights Commission,Charter Sec. 4.107,"Homelessness and Supportive Housing, Executive Director",Department of Homelessness and Supportive Housing,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Immigrant Rights Commission,Administrative Code Sec. 5.201
,,Human Services Commission,Charter Sec. 4.111,"Human Resources, Director",Department of Human Resources,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Inclusionary Housing Technical Advisory Committee,Administrative Code Sec. 5.29-1
,,Juvenile Probation Commission,Charter Sec. 7.102,"Human Rights Commission, Executive Director",Human Rights Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Industrial Development Authority Board,Administrative Code Sec. 42.1
,,Library Commission,Charter Sec. 8.102,"Human Services Agency, Executive Director",Human Services Agency,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),In-Home Supportive Services Public Authority,Administrative Code Sec. 70.2
,,Municipal Transportation Agency Board of Directors,Charter Sec. 8A.102,"Juvenile Probation Commission, Chief Probation Officer",Juvenile Probation Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Juvenile Justice Coordinating Council,Cal. Welfare and Institutions Code Sec. 749.2-749.27
,,"Our Children, Our Families Council",Charter Sec. 16.127-1; Administrative Code Sec. 102.1,Mayor,Office of the Mayor,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),LGBTQI+ Advisory Committee,Administrative Code Sec. 12.A.(6)(c)
,,Planning Commission,Charter Sec. 4.105,"Municipal Transportation Agency, Executive Director/CEO",Municipal Transportation Agency,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Local Homeless Coordinating Board,Administrative Code Sec. 5.31-1
,,Police Commission,Charter Sec. 4.109,"Planning, Director",Planning Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Long Term Care Coordinating Council,Administrative Code Sec. 10.100-12
,,Port Commission,Charter Sec. 4.114,Police Chief,Police Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Market and Octavia Community Advisory Committee,Planning Code Sec. 341.5; Board of Supervisors Res. No. 474-08
,,Public Utilities Commission,Charter Sec. 4.112,"Port, Director",Port,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Mayor's Disability Council,n/a
,,Public Works Commission,Charter Sec. 4.141,Public Defender,Public Defender's Office,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Mental Health SF Implementation Working Group,Administrative Code Sec. 5.44-1
,,Recreation and Park Commission,Charter Sec. 4.113,"Public Health, Director",Department of Public Health,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Mission Bay Transportation Improvement Fund Advisory Committee,Administrative Code Sec. 5.23-1
,,Refuse Rate Board,Health Code Sec. 290.6,"Public Works, Director",Department of Public Works,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Municipal Green Building Task Force,Environment Code Sec. 702
,,Relocation Appeals Board,Administrative Code Sec. 24.7,"Recreation and Park, General Manager",Recreation and Park Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Municipal Transportation Agency Citizens' Advisory Council,Charter Sec. 8A.111
,,Residential Rent Stabilization and Arbitration Board,Administrative Code Sec. 37.4,"Residential Rent Stabilization and Arbitration Board, Executive Director",Rent Board,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),"Our City, Our Home Oversight Committee",Administrative Code Sec. 5.41-1; Business and Tax Regulations Code Sec. 2810
,,Residential Users Appeal Board,Board of Supervisors Ord. 191-78; Public Utilities Commission Res. No. 03-0112,"Retirement System, Executive Director",Retirement System,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Paratransit Coordinating Council,state law
,,Retiree Health Care Trust Fund Board,Charter Sec. 12.204,"San Francisco Public Utilities Commission, General Manager",Public Utilities Commission,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),"Park, Recreation, and Open Space Advisory Committee",Charter Sec. 16.107; Park Code Sec. 13.01
,,Retirement Board,Charter Sec. 12.100,Sheriff,Sheriff's Department,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Permit Prioritization Task Force,Campaign & Governmental Conduct Code Sec. 3.400
,,Sanitation and Streets Commission,Charter Sec. 4.139,"Sheriff's Department Office of Inspector General, Inspector General",Sheriff's Department Office of Inspector General,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Public Utilities Citizen's Advisory Committee,Administrative Code Sec. 5.140
,,Sheriff's Department Oversight Board,Charter Sec. 4.137,"Small Business, Director",Office of Small Business,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Public Utilities Rate Fairness Board,Charter Sec. 8B.125
,,Small Business Commission,Charter Sec. 4.134,"Technology, Executive Director",Department of Technology,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Public Utilities Revenue Bond Oversight Committee,Administrative Code Sec. 5A.31
,,Treasure Island Development Authority Board of Directors,Cal. Health & Safety Code Sec. 33492.5,Treasurer,Office of the Treasurer & Tax Collector,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Real Estate Fraud Prosecution Trust Fund Committee,Administrative Code Sec. 8.24-5
,,War Memorial Board of Trustees,Charter Sec. 5.106,"War Memorial and Performing Arts Center, Managing Director",War Memorial,Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1),Reentry Council,Administrative Code Sec. 5.1-1
,,Workforce Investment San Francisco Board,Administrative Code Sec. 30.4,,,,Residential Rehabilitation Area Rent Committees,Administrative Code Sec. 32.34
,,,,,,,Residential Rehabilitation Area Citizen Advisory Committees,"Administrative Code Sec. 32.30, 32.30-1"
,,,,,,,Service Provider Working Group,Administrative Code Sec. 2A.234
,,,,,,,Sentencing Commission,Administrative Code Sec. 5.250
,,,,,,,Shelter Monitoring Committee,Administrative Code Sec. 20.305
,,,,,,,Shelter Grievance Advisory Committee,Administrative Code Sec. 5.36-1
,,,,,,,SOMA Community Stabilization Fund Community Advisory Committee,Administrative Code Sec. 5.27-1
,,,,,,,Southeast Community Facility Commission,Administrative Code Sec. 54.2
,,,,,,,South of Market Community Planning Advisory Committee,Administrative Code Sec. 5.26-1
,,,,,,,State Legislation Committee,Administrative Code Section 5.5
,,,,,,,Advisory Committee of Street Artists and Crafts Examiners,Police Code Sec. 2400
,,,,,,,Street Utilities Coordinating Committee,Administrative Code Sec. 5.60
,,,,,,,Structural Advisory Committee,Building Code Sec. 105A.6
,,,,,,,Sugary Drinks Distributor Tax Advisory Committee,Administrative Code Sec. 5.33-1
,,,,,,,Sunshine Ordinance Task Force,Administrative Code Sec. 67.30
,,,,,,,Supportive Housing Services Fund Committee,Administrative Code Sec. 10.100-131(f)
,,,,,,,Sweatfree Procurement Advisory Group,Administrative Code Sec. 12U.6
,,,,,,,Treasure Island/Yerba Buena Island Citizens Advisory Board,Board of Supervisors Res. No. 89-99
,,,,,,,Treasury Oversight Committee,Administrative Code Sec.5.9-1
,,,,,,,Urban Forestry Council,Environment Code Sec. 1200
,,,,,,,Veterans' Affairs Commission,Administrative Code Sec. 5.100
,,,,,,,Workforce Development Advisory Committee,Administrative Code Sec. 83.8
,,,,,,,Youth Commission,"Charter Sec. 4.122, 4.123"
