"Department Heads","Departments","Departments, Legal Source","2024-2025 Full-Time Employees (FTE)","2025-2026 Full-Time Employees (FTE)","URL"
"Planning, Director","Planning Department","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","202.04","200.17","https://www.sf.gov/departments/sf-planning"
"Police Chief","Police Department","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","3,230.92","3,231.53","https://www.sf.gov/departments/police-department"
"Port, Director","Port","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","338.45","343.57","https://www.sf.gov/departments/port"
"Public Defender","Public Defender's Office","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","244.21","239.92","https://www.sf.gov/departments/public-defender"
"Public Health, Director","Department of Public Health","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","8,505.29","8,510.58","https://www.sf.gov/departments/department-public-health"
"Public Works, Director","Department of Public Works","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","1,890.92","1,869.91","https://www.sf.gov/departments/city-administrator/public-works"
"Recreation and Park, General Manager","Recreation and Park Department","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","1,136.75","1,135.87","https://www.sf.gov/departments/recreation-and-park-department"
"Residential Rent Stabilization and Arbitration Board, Executive Director","Rent Board","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","52.1","52.1","https://www.sf.gov/departments/rent-board"
"Retirement System, Executive Director","Retirement System","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","156.64","158.74","https://www.sf.gov/departments/san-francisco-employees-retirement-system-sfers"
"San Francisco Public Utilities Commission, General Manager","Public Utilities Commission","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","2,836.28","2,876.63","https://www.sf.gov/departments/public-utilities-commission"
"Sheriff","Sheriff's Department","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","1,181.87","1,181.87","https://www.sf.gov/departments/sheriffs-office"
"Sheriff's Department Office of Inspector General, Inspector General","Sheriff's Department Office of Inspector General","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","13.1","13.1","https://www.sf.gov/departments/office-inspector-general"
"Small Business, Director","Office of Small Business","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","12.33","12.33","https://www.sf.gov/departments/office-economic-and-workforce-development/office-small-business"
"Technology, Executive Director","Department of Technology","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","343.7","346.78","https://www.sf.gov/departments/department-technology"
"Treasurer","Office of the Treasurer & Tax Collector","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","215.3","215.53","https://www.sf.gov/departments/treasurer-tax-collector"
"War Memorial and Performing Arts Center, Managing Director","War Memorial","Campaign & Governmental Conduct Code Sec. 3.1-103(b)(1)","71.93","71.93","https://www.sf.gov/departments/war-memorial"
