Name,Purpose,Appointed By,City Affiliation,Decision / Advisory,Charter Commission,Authorization,Start Date,Sunset Date,Required Mtgs /Yr,Members
War Memorial and Performing Arts Center Board of Trustees,"Governs the War Memorial and Performing Arts Center, a city department consisting of the War Memorial Opera House, Veterans Building (Herbst Theater and Green Room), Davies Symphony Hall, Zellerbach Rehearsal Hall, Memorial Court, and adjacent grounds.",Mayor*,San Francisco War Memorial & Performing Arts Center,D,Y,Charter § 5.106,2000,None,12,11
Small Business Commission,Analyzes how laws can affect and further the interests of small businesses.,"Mayor*, BoS",Office of Economic and Workforce Development (OEWD),D,Y,Charter § 4.134,2003,None,12,7
Treasure Island Development Authority,Guides economic development of Treasure Island and administers municipal services to Treasure Island and Yerba Buena Island.,Mayor,City Administrator,D,N,Cal. Health & Safety Code § 33492.5,1997,None,n/a,7
Workforce Investment San Francisco Board,Oversees San Francisco's workforce development strategies and receives and manages the City's workforce funding through the Workforce Innovation and Opportunity Act (WIOA).,Mayor,Office of Economic and Workforce Development (OEWD),D,N,Admin Code § 30.4,2014,None,4,28
Elections Commission,Sets general policy for the Department of Elections and approves policies and procedures for each election.,"Mayor, BoS, multiple city depts.",Department of Elections,D,Y,Charter § 13.103.5,2001,None,12,7
Redistricting Task Force,Reconfigures the districts for the Board of Supervisors following each decennial federal census.,"Mayor, BoS, Elections Commission",Department of Elections,D,Y,Charter § 13.110,2002,None,n/a,9
Commission on the Environment,Sets policy for the Department of the Environment and advises the Mayor and Board of Supervisors on environmental matters.,Mayor*,San Francisco Environment Department,D,Y,Charter § 4.118,2003,None,10,7
Citizens' General Obligation Bond Oversight Committee,"Oversees general obligation bond programs, ensuring public facilities are built to the highest standards and that funds are spent in accordance with voter authorization.","Mayor, BoS, Controller, Civil Grand Jury",Controller's Office,D,N,Admin Code §§ 5.30–5.36,2002,None,n/a,9
Ethics Commission,"Enforces laws related to campaign finance, governmental ethics, conflicts of interest, and reporting by lobbyists, permit consultants, and major developers.","Mayor, BoS, City Attorney, D.A., Assessor",Ethics Commission,D,Y,Charter § 15.100,1993,None,12,5
Civil Service Commission,Oversees the city's merit system to make sure the city hires and promotes workers fairly.,Mayor*,Mayor's Office,D,Y,"Charter §§ 10.100, 10.101",1900,None,24,5
Retiree Health Care Trust Fund Board,Oversees the city's contribution to the health care premiums of its retirees and their survivors.,"Controller, Treasurer, SFERS",San Francisco Employees' Retirement System (SFERS),D,Y,Charter § 12.204,2008,None,4,5
Retirement Board,"Oversees administration, pension fund investment, member benefits, and actuarial funding of the city employees' retirement plan.","Mayor*, BoS, Retirement Board",San Francisco Employees' Retirement System (SFERS),D,Y,Charter § 12.100,2022,None,12,7
Homelessness Oversight Commission,"Oversees the Department of Homelessness and Supportive Housing (HSH). Approves budgets, establishes departmental performance standards, conducts audits of service delivery, and holds hearings.","Mayor**, BoS",Department of Homelessness and Supportive Housing (HSH),D,Y,Charter § 4.133,2023,None,12,7
Residential Rent Stabilization and Arbitration Board,"Conducts rent arbitrations and mediations, investigates wrongful evictions, and provides information on the Rent Ordinance.",Mayor*,BoS,D,N,Admin Code § 37.4,1979,None,12,5
Children and Families Commission,"Oversees the local distribution of Prop 10 funds, which use monies from a tobacco tax to support statewide education and outreach programs for young children and their families. (Formerly First 5 San Francisco.)","BoS, DPH, Human Services Agency, Dept of Children, Youth, and Their Families",San Francisco Department of Early Childhood,D,N,Admin Code § 86.1,1998,None,4,9
Disability and Aging Services Commission,"Oversees the Department of Disability and Aging Services (DAS) and acts on DAS staff recommendations to fund programs that promote health, safety, and independence for older people and adults with disabilities.",Mayor*,Department of Disability and Aging Services (DAS),D,Y,Charter § 4.120,2019,None,12,7
Human Services Commission,"Oversees the Department of Benefits and Family Support (part of the Human Services Agency) by formulating, evaluating, and approving policies for city social service programs.",Mayor*,San Francisco Human Services Agency (SFHSA),D,Y,Charter § 4.111,1964,None,12,5
Recreation and Park Commission,Establishes policies for the Recreation and Park Department.,Mayor*,San Francisco Recreation and Park Department,D,Y,Charter § 4.113,1890,None,12,7
Board of Examiners,Determines whether new construction methods and materials comply with safety standards established by the San Francisco Construction Codes.,Building Inspection Commission,Department of Building Inspection (DBI),D,N,Building Code § 105A.1,1956,None,As needed,13
Building Inspection Commission,Manages the Department of Building Inspection and oversees enforcement of the city's building codes.,"Mayor**, BoS",Department of Building Inspection (DBI),D,Y,Charter § 4.121,1994,None,12,7
Planning Commission,Maintains the San Francisco General Plan and approves all permits and licenses subject to the Planning Code.,"Mayor**, BoS",San Francisco Planning Department,D,Y,Charter § 4.105,1929,None,52,7
Health Commission,"In coordination with the Department of Public Health (DPH), oversees the city hospitals and emergency medical services.",Mayor*,Department of Public Health (DPH),D,Y,Charter § 4.110,1984,None,24,7
Health Service Board,"Administers health plans, reviews costs, and sets policies for the San Francisco Health Service System (SFHSS), which provides medical benefits to current and retired city employees.","Mayor*, Controller, BoS",San Francisco Health Service System (SFHSS),D,Y,Charter § 12.200,2004,None,12,7
Fire Commission,"Oversees the Fire Department, prescribing and enforcing regulations and reviewing Fire Department personnel matters.",Mayor*,San Francisco Fire Department (SFFD),D,Y,Charter § 4.108,1890,None,24,5
Police Commission,"Oversees and makes policy for the Police Department and the Department of Police Accountability, investigates citizen complaints of police misconduct, and adjudicates police discipline cases.","BoS, Mayor**","San Francisco Police Department (SFPD), Department of Police Accountability",D,Y,Charter § 4.109,1878,None,36,7
Sheriff's Department Oversight Board,"Appoints and evaluates the work of the Sheriff's Office of Inspector General (OIG), recommends custodial and patrol best practices, and reports on Sheriff's Department operations to the Board of Supervisors.","BoS, Mayor",Office of the Inspector General,D,Y,Charter § 4.137,2020,None,12,7
Public Works Commission,"Sets policy for the Department of Public Works, which is responsible for building and maintaining city-owned facilities, maintaining the public right of way, and planting street trees.","Mayor**, BoS, Controller**",Department of Public Works (DPW),D,Y,Charter § 4.141,2020,None,24,5
Sanitation and Streets Commission,"Holds public hearings and recommends policies to DPW regarding sanitation standards and protocols, and maintenance of the public right of way. Originally established to oversee the Sanitation and Streets department, which no longer exists.","Mayor**, BoS, Controller**",Department of Public Works (DPW),D,Y,Charter § 4.139,2020,None,12,5
Commission on the Status of Women,"Recommends policies for and advocates on behalf of women and girls to reduce domestic violence, sexual harassment, and employment discrimination.",Mayor*,Department on the Status of Women,D,Y,Charter § 4.119,1975,None,12,7
Human Rights Commission,"Investigates and mediates complaints of unlawful discrimination in public contracting, employment, housing, and public accommodations.",Mayor*,San Francisco Human Rights Commission,D,Y,Charter § 4.107,1964,None,24,11
Committee on Information Technology,"Develops and approves information and communication technology (ICT) plans, budgets, and projects for all city departments.","BoS, Controller, City Admin, other city depts.",Department of Technology,D,N,Admin Code § 22A.3,2010,None,12,16
Airport Commission,Oversees San Francisco International Airport (SFO) Airport and establishes policies by which SFO operates.,Mayor*,San Francisco International Airport (SFO),D,Y,Charter § 4.115,1970,None,24,5
Municipal Transportation Agency Board of Directors,"Establishes policies that govern the Municipal Railway (MUNI), traffic-related changes, parking enforcement, the taxicab industry, and city-owned parking facilities.",Mayor****,San Francisco Municipal Transportation Authority (SFMTA),D,Y,Charter § 8A.100 - 115,2000,None,24,7
Port Commission,"Oversees the Port of San Francisco, which operates, maintains, manages, and regulates the port area of San Francisco, a 7.5-mile stretch of waterfront adjacent to San Francisco Bay.",Mayor****,The Port of San Francisco,D,Y,Charter § 4.114,1968,None,14,5
Public Utilities Commission,"Provides operational oversight over rates and charges for service, approval of contracts, and organizational policy.",Mayor****,San Francisco Public Utilities Commission (SFPUC),D,Y,Charter § 4.112,1996,None,24,5
Refuse Rate Board,Reviews the costs and operations of the city's refuse collectors and adopts rate orders.,"Mayor*, SFPUC",Office of the Refuse Rates Administrator (Controller's Office),D,N,Health Code § 290.6,2022,None,Not available,3
Residential Users Appeal Board,Reviews the determination of the wastewater volume discharged to the city's sewer system for the purpose of assessing the user's sewer service charges.,SFPUC,San Francisco Public Utilities Commission (SFPUC),D,N,BOS Ordinance,1978,None,n/a,3
Juvenile Probation Commission,"Reviews policies and procedures of the Juvenile Probation Department to ensure that the department promotes the safety and welfare of juveniles entering the juvenile justice system, and follows state and court mandates for protection of juveniles.",Mayor*,Juvenile Probation Department,D,Y,Charter § 7.102,1989,None,11,7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
